Customer ID,SnapshotDate,Churn,Recency,TenureDays,LifetimePurchaseDays,LifetimeOrders,LifetimeMonetary,LifetimeUnits,LifetimeUniqueProducts,AverageOrderValue,PurchaseDays30D,Orders30D,Monetary30D,Units30D,PurchaseDays60D,Orders60D,Monetary60D,Units60D,PurchaseDays90D,Orders90D,Monetary90D,Units90D,PurchaseDays180D,Orders180D,Monetary180D,Units180D,OrdersPrevious90D,MonetaryPrevious90D,PurchaseDaysPrevious90D,OrderChange90D,MonetaryChange90D,OrderTrendRatio90D,MonetaryTrendRatio90D,MedianPurchaseGap,LatestPurchaseGap,PurchaseGapStd,HasRepeatPurchaseHistory,SnapshotMonth,SnapshotQuarter,IsHolidaySeason,CancellationRows180D,CancelledUnits180D,CancellationValue180D,PositiveUnits180D,CancellationUnitRate180D
12370,2010-06-01,1,68,112,2,3,534.62,246,32,178.20666666666668,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,131.66,78.0,2,3,534.62,246,1.0,402.96,1.0,1.0,-271.29999999999995,1.5,0.32839885137142294,44.0,44.0,0.0,1,6,2,0,0,0,0.0,246,0.0
12371,2010-06-01,1,89,89,1,2,487.68,249,31,243.84,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,487.68,249.0,1,2,487.68,249,0.0,0.0,0.0,2.0,487.68,3.0,488.68,,,,0,6,2,0,0,0,0.0,249,0.0
12373,2010-06-01,1,68,117,2,2,603.0500000000001,315,30,301.52500000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,245.15,109.0,2,2,603.0500000000001,315,1.0,357.90000000000003,1.0,0.0,-112.75000000000003,1.0,0.6858456394538869,49.0,49.0,0.0,1,6,2,0,0,0,0.0,315,0.0
12374,2010-06-01,1,32,32,1,1,1388.54,798,36,1388.54,0.0,0.0,0.0,0.0,1.0,1.0,1388.54,798.0,1.0,1.0,1388.54,798.0,1,1,1388.54,798,0.0,0.0,0.0,1.0,1388.54,2.0,1389.54,,,,0,6,2,0,0,0,0.0,798,0.0
12377,2010-06-01,1,33,33,1,1,1210.96,835,47,1210.96,0.0,0.0,0.0,0.0,1.0,1.0,1210.96,835.0,1.0,1.0,1210.96,835.0,1,1,1210.96,835,0.0,0.0,0.0,1.0,1210.96,2.0,1211.96,,,,0,6,2,0,0,0,0.0,835,0.0
12378,2010-06-01,1,6,6,1,1,1407.7,787,82,1407.7,1.0,1.0,1407.7,787.0,1.0,1.0,1407.7,787.0,1.0,1.0,1407.7,787.0,1,1,1407.7,787,0.0,0.0,0.0,1.0,1407.7,2.0,1408.7,,,,0,6,2,0,0,0,0.0,787,0.0
12380,2010-06-01,0,106,106,1,1,1508.65,616,51,1508.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1508.65,616,1.0,1508.65,1.0,-1.0,-1508.65,0.5,0.0006624051932567151,,,,0,6,2,0,0,0,0.0,616,0.0
12388,2010-06-01,1,26,26,1,1,461.62,266,26,461.62,1.0,1.0,461.62,266.0,1.0,1.0,461.62,266.0,1.0,1.0,461.62,266.0,1,1,461.62,266,0.0,0.0,0.0,1.0,461.62,2.0,462.62,,,,0,6,2,0,0,0,0.0,266,0.0
12389,2010-06-01,1,11,99,2,2,563.03,252,23,281.515,1.0,1.0,398.18,185.0,1.0,1.0,398.18,185.0,1.0,1.0,398.18,185.0,2,2,563.03,252,1.0,164.85,1.0,0.0,233.33,1.0,2.406873681037082,88.0,88.0,0.0,1,6,2,0,0,0,0.0,252,0.0
12391,2010-06-01,1,41,106,3,4,1876.59,745,96,469.1475,0.0,0.0,0.0,0.0,1.0,2.0,1151.7,459.0,1.0,2.0,1151.7,459.0,3,4,1876.59,745,2.0,724.89,2.0,0.0,426.81000000000006,1.0,1.587981650112276,32.5,58.0,25.5,1,6,2,0,6,8,25.6,753,0.010624169986719787
12392,2010-06-01,1,35,35,1,1,234.75000000000003,73,7,234.75000000000003,0.0,0.0,0.0,0.0,1.0,1.0,234.75000000000003,73.0,1.0,1.0,234.75000000000003,73.0,1,1,234.75000000000003,73,0.0,0.0,0.0,1.0,234.75000000000003,2.0,235.75000000000003,,,,0,6,2,0,0,0,0.0,73,0.0
12395,2010-06-01,0,46,46,1,1,1035.44,728,51,1035.44,0.0,0.0,0.0,0.0,1.0,1.0,1035.44,728.0,1.0,1.0,1035.44,728.0,1,1,1035.44,728,0.0,0.0,0.0,1.0,1035.44,2.0,1036.44,,,,0,6,2,0,0,0,0.0,728,0.0
12396,2010-06-01,1,118,118,1,1,931.43,591,65,931.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,931.43,591,1.0,931.43,1.0,-1.0,-931.43,0.5,0.0010724665658548096,,,,0,6,2,0,0,0,0.0,591,0.0
12399,2010-06-01,0,88,88,1,1,190.98,218,14,190.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,190.98,218.0,1,1,190.98,218,0.0,0.0,0.0,1.0,190.98,2.0,191.98,,,,0,6,2,0,0,0,0.0,218,0.0
12402,2010-06-01,0,44,114,2,2,462.6,252,20,231.29999999999998,0.0,0.0,0.0,0.0,1.0,1.0,285.9,166.0,1.0,1.0,285.9,166.0,2,2,462.6,252,1.0,176.7,1.0,0.0,109.19999999999999,1.0,1.614518851997749,70.0,70.0,0.0,1,6,2,0,1,1,12.75,253,0.003952569169960474
12406,2010-06-01,1,40,141,2,2,1629.2,1028,32,814.6,0.0,0.0,0.0,0.0,1.0,1.0,748.0,576.0,1.0,1.0,748.0,576.0,2,2,1629.2,1028,1.0,881.2,1.0,0.0,-133.20000000000005,1.0,0.8490138290637044,101.0,101.0,0.0,1,6,2,0,0,0,0.0,1028,0.0
12409,2010-06-01,0,9,9,1,1,6802.48,4402,87,6802.48,1.0,1.0,6802.48,4402.0,1.0,1.0,6802.48,4402.0,1.0,1.0,6802.48,4402.0,1,1,6802.48,4402,0.0,0.0,0.0,1.0,6802.48,2.0,6803.48,,,,0,6,2,0,0,0,0.0,4402,0.0
12416,2010-06-01,1,100,100,1,1,202.56,132,11,202.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,202.56,132,1.0,202.56,1.0,-1.0,-202.56,0.5,0.0049125564943996855,,,,0,6,2,0,0,0,0.0,132,0.0
12417,2010-06-01,0,61,177,5,5,1297.5,738,82,259.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,660.3,392.0,5,5,1297.5,738,3.0,637.2,3.0,-1.0,23.09999999999991,0.75,1.0361955499843307,28.0,27.0,18.425525772688278,1,6,2,0,2,2,18.45,740,0.002702702702702703
12418,2010-06-01,1,20,74,2,2,874.36,348,36,437.18,1.0,1.0,535.37,147.0,1.0,1.0,535.37,147.0,2.0,2.0,874.36,348.0,2,2,874.36,348,0.0,0.0,0.0,2.0,874.36,3.0,875.36,54.0,54.0,0.0,1,6,2,0,1,1,4.25,349,0.0028653295128939827
12422,2010-06-01,0,12,165,4,4,1537.89,1266,53,384.47249999999997,1.0,1.0,404.44,294.0,2.0,2.0,800.64,781.0,2.0,2.0,800.64,781.0,4,4,1537.89,1266,2.0,737.25,2.0,0.0,63.389999999999986,1.0,1.0858652218083304,53.0,42.0,6.683312551921141,1,6,2,0,0,0,0.0,1266,0.0
12426,2010-06-01,1,106,106,1,1,656.6800000000001,315,45,656.6800000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,656.6800000000001,315,1.0,656.6800000000001,1.0,-1.0,-656.6800000000001,0.5,0.0015204962899890522,,,,0,6,2,0,5,7,33.8,322,0.021739130434782608
12431,2010-06-01,0,8,137,4,4,1832.76,854,77,458.19,2.0,2.0,452.9,214.0,2.0,2.0,452.9,214.0,3.0,3.0,847.49,381.0,4,4,1832.76,854,1.0,985.27,1.0,2.0,-137.77999999999997,2.0,0.8603019457146623,48.0,3.0,30.822070014844883,1,6,2,0,0,0,0.0,854,0.0
12435,2010-06-01,0,81,181,2,2,1736.88,808,16,868.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,728.88,328.0,1,1,728.88,328,0.0,0.0,0.0,1.0,728.88,2.0,729.88,100.0,100.0,0.0,1,6,2,0,0,0,0.0,328,0.0
12437,2010-06-01,0,46,181,7,7,3653.62,2944,161,521.9457142857143,0.0,0.0,0.0,0.0,2.0,2.0,425.9,394.0,4.0,4.0,1041.05,857.0,6,6,3230.44,2710,2.0,2189.39,2.0,2.0,-1148.34,1.6666666666666667,0.47573719748537935,21.0,2.0,13.475286020464774,1,6,2,0,12,46,151.3,2724,0.016886930983847283
12439,2010-06-01,1,126,169,2,2,1104.48,454,67,552.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,2,1104.48,454,2.0,1104.48,2.0,-2.0,-1104.48,0.3333333333333333,0.0009045844339110612,43.0,43.0,0.0,1,6,2,0,3,30,53.699999999999996,484,0.06198347107438017
12440,2010-06-01,1,161,161,1,1,488.51,253,20,488.51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,488.51,253,1.0,488.51,1.0,-1.0,-488.51,0.5,0.0020428591857163288,,,,0,6,2,0,0,0,0.0,253,0.0
12443,2010-06-01,1,176,176,1,1,365.31,179,20,365.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,365.31,179,1.0,365.31,1.0,-1.0,-365.31,0.5,0.002729928202888264,,,,0,6,2,0,0,0,0.0,179,0.0
12455,2010-06-01,1,21,165,3,3,2914.95,921,109,971.65,1.0,1.0,500.60999999999996,143.0,1.0,1.0,500.60999999999996,143.0,2.0,2.0,1278.52,404.0,3,3,2914.95,921,1.0,1636.43,1.0,1.0,-357.9100000000001,1.5,0.7814196637413507,72.0,49.0,23.0,1,6,2,0,0,0,0.0,921,0.0
12459,2010-06-01,1,49,49,1,1,398.36,256,22,398.36,0.0,0.0,0.0,0.0,1.0,1.0,398.36,256.0,1.0,1.0,398.36,256.0,1,1,398.36,256,0.0,0.0,0.0,1.0,398.36,2.0,399.36,,,,0,6,2,0,0,0,0.0,256,0.0
12468,2010-06-01,0,53,126,2,2,2005.19,1334,75,1002.5949999999999,0.0,0.0,0.0,0.0,1.0,1.0,1601.61,1023.0,1.0,1.0,1601.61,1023.0,2,2,2005.19,1334,1.0,403.58,1.0,0.0,1198.03,1.0,3.961169607988531,73.0,73.0,0.0,1,6,2,0,8,12,24.94,1343,0.008935219657483246
12470,2010-06-01,1,133,133,1,1,211.95,95,23,211.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,211.95,95,1.0,211.95,1.0,-1.0,-211.95,0.5,0.0046959380136182205,,,,0,6,2,0,0,0,0.0,95,0.0
12471,2010-06-01,0,15,176,14,21,7630.84,3693,107,363.37333333333333,1.0,1.0,576.58,328.0,3.0,4.0,2149.12,1064.0,6.0,9.0,3255.72,1560.0,14,21,7630.84,3693,12.0,4375.12,8.0,-3.0,-1119.4,0.7692307692307693,0.7442026269846348,14.0,21.0,6.65106656037455,1,6,2,0,46,94,302.7,3785,0.024834874504623513
12472,2010-06-01,0,36,169,7,7,3698.04,2652,168,528.2914285714286,0.0,0.0,0.0,0.0,1.0,1.0,491.37,310.0,4.0,4.0,1685.83,1249.0,7,7,3698.04,2652,3.0,2012.21,3.0,1.0,-326.3800000000001,1.25,0.8378807973336114,14.5,25.0,15.82631423364967,1,6,2,0,28,151,266.33,2777,0.054375225063017646
12474,2010-06-01,0,37,110,3,3,925.84,694,61,308.6133333333333,0.0,0.0,0.0,0.0,2.0,2.0,785.14,532.0,2.0,2.0,785.14,532.0,3,3,925.84,694,1.0,140.7,1.0,1.0,644.44,1.5,5.5479181369089625,36.5,10.0,26.5,1,6,2,0,3,7,36.55,701,0.009985734664764621
12477,2010-06-01,0,67,67,1,1,2021.23,841,105,2021.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,2021.23,841.0,1,1,2021.23,841,0.0,0.0,0.0,1.0,2021.23,2.0,2022.23,,,,0,6,2,0,0,0,0.0,841,0.0
12481,2010-06-01,1,51,51,1,1,2851.1,2008,49,2851.1,0.0,0.0,0.0,0.0,1.0,1.0,2851.1,2008.0,1.0,1.0,2851.1,2008.0,1,1,2851.1,2008,0.0,0.0,0.0,1.0,2851.1,2.0,2852.1,,,,0,6,2,0,2,100,118.5,2108,0.04743833017077799
12482,2010-06-01,1,20,97,5,27,21941.72,27040,41,812.6562962962963,1.0,10.0,3556.76,6084.0,4.0,22.0,15503.960000000001,19888.0,4.0,22.0,15503.960000000001,19888.0,5,27,21941.72,27040,5.0,6437.76,1.0,17.0,9066.2,3.8333333333333335,2.4080661493828006,17.0,23.0,15.270478054075452,1,6,2,0,0,0,0.0,27040,0.0
12483,2010-06-01,0,39,121,5,5,869.5,467,22,173.9,0.0,0.0,0.0,0.0,1.0,1.0,201.0,144.0,3.0,3.0,600.4,328.0,5,5,869.5,467,2.0,269.1,2.0,1.0,331.29999999999995,1.3333333333333333,2.226582747130692,19.0,38.0,13.06713434537198,1,6,2,0,1,12,23.4,479,0.025052192066805846
12484,2010-06-01,0,93,125,3,3,622.8,452,61,207.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,3,622.8,452,3.0,622.8,3.0,-3.0,-622.8,0.25,0.001603077909586406,16.0,30.0,14.0,1,6,2,0,2,2,3.35,452,0.004424778761061947
12487,2010-06-01,1,174,174,1,1,285.29999999999995,174,2,285.29999999999995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,285.29999999999995,174,1.0,285.29999999999995,1.0,-1.0,-285.29999999999995,0.5,0.00349283967865875,,,,0,6,2,0,1,30,25.5,174,0.1724137931034483
12490,2010-06-01,0,25,182,6,6,2221.17,1792,85,370.195,1.0,1.0,399.15999999999997,280.0,1.0,1.0,399.15999999999997,280.0,3.0,3.0,929.71,623.0,5,5,1689.23,1354,2.0,759.52,2.0,1.0,170.19000000000005,1.3333333333333333,1.2237810971440595,23.0,59.0,24.113066996962456,1,6,2,0,1,4,5.0,1358,0.0029455081001472753
12494,2010-06-01,1,20,20,1,1,275.77,193,19,275.77,1.0,1.0,275.77,193.0,1.0,1.0,275.77,193.0,1.0,1.0,275.77,193.0,1,1,275.77,193,0.0,0.0,0.0,1.0,275.77,2.0,276.77,,,,0,6,2,0,2,8,15.100000000000001,201,0.03980099502487562
12495,2010-06-01,1,84,84,1,1,243.4,124,14,243.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,243.4,124.0,1,1,243.4,124,0.0,0.0,0.0,1.0,243.4,2.0,244.4,,,,0,6,2,0,2,4,34.0,128,0.03125
12496,2010-06-01,1,64,64,1,2,54.09,33,10,27.045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,54.09,33.0,1,2,54.09,33,0.0,0.0,0.0,2.0,54.09,3.0,55.09,,,,0,6,2,0,0,0,0.0,33,0.0
12497,2010-06-01,1,88,88,1,1,1049.76,884,16,1049.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1049.76,884.0,1,1,1049.76,884,0.0,0.0,0.0,1.0,1049.76,2.0,1050.76,,,,0,6,2,0,0,0,0.0,884,0.0
12499,2010-06-01,1,4,4,1,1,357.72,300,26,357.72,1.0,1.0,357.72,300.0,1.0,1.0,357.72,300.0,1.0,1.0,357.72,300.0,1,1,357.72,300,0.0,0.0,0.0,1.0,357.72,2.0,358.72,,,,0,6,2,0,0,0,0.0,300,0.0
12500,2010-06-01,0,51,117,5,5,1143.59,545,55,228.71800000000002,0.0,0.0,0.0,0.0,1.0,1.0,439.55,225.0,2.0,2.0,545.15,265.0,5,5,1143.59,545,3.0,598.44,3.0,-1.0,-53.29000000000008,0.75,0.9111003603363138,19.5,26.0,9.340770846134703,1,6,2,0,6,10,31.35,553,0.018083182640144666
12503,2010-06-01,1,28,28,1,1,896.0,560,1,896.0,1.0,1.0,896.0,560.0,1.0,1.0,896.0,560.0,1.0,1.0,896.0,560.0,1,1,896.0,560,0.0,0.0,0.0,1.0,896.0,2.0,897.0,,,,0,6,2,0,0,0,0.0,560,0.0
12504,2010-06-01,1,40,40,1,1,116.4,120,5,116.4,0.0,0.0,0.0,0.0,1.0,1.0,116.4,120.0,1.0,1.0,116.4,120.0,1,1,116.4,120,0.0,0.0,0.0,1.0,116.4,2.0,117.4,,,,0,6,2,0,0,0,0.0,120,0.0
12507,2010-06-01,1,28,28,1,1,455.25,359,27,455.25,1.0,1.0,455.25,359.0,1.0,1.0,455.25,359.0,1.0,1.0,455.25,359.0,1,1,455.25,359,0.0,0.0,0.0,1.0,455.25,2.0,456.25,,,,0,6,2,0,0,0,0.0,359,0.0
12510,2010-06-01,1,68,179,4,4,1533.54,1142,56,383.385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,329.2,216.0,4,4,1533.54,1142,3.0,1204.34,3.0,-2.0,-875.1399999999999,0.5,0.273947599847346,49.0,50.0,17.682382946499793,1,6,2,0,4,26,49.7,1168,0.02226027397260274
12514,2010-06-01,1,85,85,1,1,580.08,400,33,580.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,580.08,400.0,1,1,580.08,400,0.0,0.0,0.0,1.0,580.08,2.0,581.08,,,,0,6,2,0,0,0,0.0,400,0.0
12516,2010-06-01,1,43,43,1,1,509.46000000000004,502,24,509.46000000000004,0.0,0.0,0.0,0.0,1.0,1.0,509.46000000000004,502.0,1.0,1.0,509.46000000000004,502.0,1,1,509.46000000000004,502,0.0,0.0,0.0,1.0,509.46000000000004,2.0,510.46000000000004,,,,0,6,2,0,0,0,0.0,502,0.0
12523,2010-06-01,0,26,176,5,5,1150.27,741,60,230.054,1.0,1.0,411.58,234.0,1.0,1.0,411.58,234.0,2.0,2.0,630.68,356.0,5,5,1150.27,741,3.0,519.59,3.0,-1.0,111.08999999999992,0.75,1.2133924969745864,42.0,55.0,24.19194080680589,1,6,2,0,5,10,49.0,751,0.013315579227696404
12524,2010-06-01,0,69,113,3,3,1958.58,1518,12,652.86,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,1471.6799999999998,1308.0,3,3,1958.58,1518,1.0,486.9,1.0,1.0,984.7799999999999,1.5,3.0184054109448657,22.0,16.0,6.0,1,6,2,0,0,0,0.0,1518,0.0
12525,2010-06-01,0,91,91,1,1,428.48,271,30,428.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,428.48,271,1.0,428.48,1.0,-1.0,-428.48,0.5,0.002328397131414734,,,,0,6,2,0,9,14,93.7,280,0.05
12530,2010-06-01,0,41,86,2,2,585.54,456,28,292.77,0.0,0.0,0.0,0.0,1.0,1.0,264.54,234.0,2.0,2.0,585.54,456.0,2,2,585.54,456,0.0,0.0,0.0,2.0,585.54,3.0,586.54,45.0,45.0,0.0,1,6,2,0,0,0,0.0,456,0.0
12531,2010-06-01,1,130,130,1,1,1611.83,1050,108,1611.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1611.83,1050,1.0,1611.83,1.0,-1.0,-1611.83,0.5,0.0006200281492779772,,,,0,6,2,0,6,15,34.15,1065,0.014084507042253521
12533,2010-06-01,1,71,182,2,2,1005.99,560,54,502.995,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,353.52,201.0,1,1,353.52,201,0.0,0.0,0.0,1.0,353.52,2.0,354.52,111.0,111.0,0.0,1,6,2,0,18,136,217.89999999999998,218,0.6238532110091743
12539,2010-06-01,1,160,160,1,2,5149.06,2128,104,2574.5299999999997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2,5149.06,2128,2.0,5149.06,1.0,-2.0,-5149.06,0.3333333333333333,0.00019417249507772724,,,,0,6,2,0,0,0,0.0,2128,0.0
12540,2010-06-01,0,19,176,8,9,3393.57,1845,96,377.06333333333333,2.0,3.0,1021.33,569.0,3.0,4.0,1344.95,799.0,4.0,5.0,1681.89,1020.0,8,9,3393.57,1845,4.0,1711.68,4.0,1.0,-29.789999999999964,1.2,0.9826062078146531,22.0,9.0,7.188426071662357,1,6,2,0,0,0,0.0,1845,0.0
12542,2010-06-01,0,84,84,1,1,306.29,345,22,306.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,306.29,345.0,1,1,306.29,345,0.0,0.0,0.0,1.0,306.29,2.0,307.29,,,,0,6,2,0,6,8,58.5,353,0.0226628895184136
12549,2010-06-01,1,19,141,4,5,1570.68,1365,37,314.136,2.0,2.0,416.31,413.0,2.0,2.0,416.31,413.0,2.0,2.0,416.31,413.0,4,5,1570.68,1365,3.0,1154.3700000000001,2.0,-1.0,-738.0600000000002,0.75,0.36119165289041605,16.0,2.0,45.146674542232034,1,6,2,0,0,0,0.0,1365,0.0
12557,2010-06-01,0,166,166,1,1,1952.64,576,3,1952.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1952.64,576,1.0,1952.64,1.0,-1.0,-1952.64,0.5,0.0005118650314285129,,,,0,6,2,0,0,0,0.0,576,0.0
12567,2010-06-01,0,26,110,2,2,769.4300000000001,343,36,384.71500000000003,1.0,1.0,283.15,113.0,1.0,1.0,283.15,113.0,1.0,1.0,283.15,113.0,2,2,769.4300000000001,343,1.0,486.28000000000003,1.0,0.0,-203.13000000000005,1.0,0.5831349532096535,84.0,84.0,0.0,1,6,2,0,2,6,29.700000000000003,349,0.017191977077363897
12568,2010-06-01,1,88,88,1,1,52.0,47,4,52.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,52.0,47.0,1,1,52.0,47,0.0,0.0,0.0,1.0,52.0,2.0,53.0,,,,0,6,2,0,0,0,0.0,47,0.0
12577,2010-06-01,1,180,180,1,1,210.55,79,13,210.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,210.55,79,1.0,210.55,1.0,-1.0,-210.55,0.5,0.004727014890096903,,,,0,6,2,0,0,0,0.0,79,0.0
12580,2010-06-01,1,20,20,1,1,583.1999999999999,328,33,583.1999999999999,1.0,1.0,583.1999999999999,328.0,1.0,1.0,583.1999999999999,328.0,1.0,1.0,583.1999999999999,328.0,1,1,583.1999999999999,328,0.0,0.0,0.0,1.0,583.1999999999999,2.0,584.1999999999999,,,,0,6,2,0,0,0,0.0,328,0.0
12582,2010-06-01,1,21,21,1,1,837.11,370,53,837.11,1.0,1.0,837.11,370.0,1.0,1.0,837.11,370.0,1.0,1.0,837.11,370.0,1,1,837.11,370,0.0,0.0,0.0,1.0,837.11,2.0,838.11,,,,0,6,2,0,0,0,0.0,370,0.0
12583,2010-06-01,0,11,177,5,5,2643.85,1481,58,528.77,2.0,2.0,718.36,434.0,2.0,2.0,718.36,434.0,3.0,3.0,1360.36,834.0,5,5,2643.85,1481,2.0,1283.49,2.0,1.0,76.86999999999989,1.3333333333333333,1.0598447632912673,35.0,15.0,24.22292302757865,1,6,2,0,0,0,0.0,1481,0.0
