Customer ID,SnapshotDate,Segment,CustomerValue,SegmentFrequency,ChurnProbability,AboveModelThreshold,ProbabilityThreshold,CampaignPriorityBand,CampaignRecommendedAction,CustomerValueCap,ValueAtRiskScore,ProbabilityRank,ValueAtRiskRank,ValueProtectionPriorityBand,ValueProtectionRecommendedAction,ModelVersion
12384,2011-12-10,Recent developing,406.16,2,0.6427972726583655,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,261.07854026292176,1480,2865,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12388,2011-12-10,Champions,3901.11,8,0.3460107854244441,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1349.826135127153,2580,643,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12390,2011-12-10,Lapsed low-value,504.84,1,0.8242166766569956,1,0.4,Priority 2 - Targeted,Targeted retention message for the next-ranked 10%,38851.33209999985,416.09754704351764,531,2382,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12391,2011-12-10,Champions,2747.82,6,0.6601591550372766,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,1813.9985293945297,1399,336,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12393,2011-12-10,At-risk established,2376.75,6,0.6510073375815582,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,1547.2816895969684,1440,475,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12394,2011-12-10,Recent developing,1080.48,2,0.7685114965825187,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,830.3613018274798,1007,1322,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12395,2011-12-10,Champions,4530.92,15,0.1513154923405388,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,685.598390555594,3070,1653,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12397,2011-12-10,Recent developing,2214.9,2,0.5775462761350566,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1279.207247011537,1797,704,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12398,2011-12-10,Recent developing,1435.66,1,0.7512139211412435,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,1078.4877780256377,1080,931,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12399,2011-12-10,At-risk established,1842.3,7,0.6477981145770929,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,1193.4384664853783,1455,792,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12403,2011-12-10,Recent developing,947.36,2,0.9072345469466884,1,0.4,Priority 1 - Immediate,Personalized outreach for the highest-ranked 10%; use segment and value,38851.33209999985,859.4777203954147,77,1271,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12405,2011-12-10,At-risk established,1390.39,1,0.8380905759853149,1,0.4,Priority 2 - Targeted,Targeted retention message for the next-ranked 10%,38851.33209999985,1165.2727559442221,414,819,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12406,2011-12-10,Champions,6072.21,5,0.5444233636560964,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,3305.8529930261852,1936,67,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12407,2011-12-10,At-risk established,1507.12,5,0.5515368398206979,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,831.2322020305702,1906,1319,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12408,2011-12-10,Champions,3859.77,8,0.4029564910587408,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1555.319375493796,2405,469,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12409,2011-12-10,Champions,23091.27,7,0.3477197942689886,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,8029.291653809668,2576,4,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12412,2011-12-10,At-risk established,2389.03,6,0.5336273838155062,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1274.851828756759,1964,715,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12413,2011-12-10,At-risk established,861.5,4,0.7157729969170538,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,616.6384368440418,1198,1812,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12415,2011-12-10,Exceptional high-value,143104.49,24,0.0011281811491683,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,43.831340495297084,3432,3407,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12417,2011-12-10,Champions,5909.21,20,0.1122296320412744,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,663.1884639546191,3140,1705,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12418,2011-12-10,At-risk established,2016.25,4,0.799129626531789,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,1611.2451094947196,779,428,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12420,2011-12-10,Recent developing,600.39,1,0.8147968653415594,1,0.4,Priority 2 - Targeted,Targeted retention message for the next-ranked 10%,38851.33209999985,489.1958899824188,608,2164,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12421,2011-12-10,Recent developing,869.6,6,0.4816203820810447,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,418.81708425767647,2158,2372,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12422,2011-12-10,Champions,3639.35,12,0.4540776257564388,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1652.5474072966954,2242,408,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12423,2011-12-10,Champions,2291.19,10,0.3870067280396212,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,886.7059452170997,2463,1236,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12424,2011-12-10,At-risk established,3340.03,4,0.8449870086813571,1,0.4,Priority 2 - Targeted,Targeted retention message for the next-ranked 10%,38851.33209999985,2822.281958605993,368,111,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12425,2011-12-10,At-risk established,1680.81,2,0.8663072642719044,1,0.4,Priority 1 - Immediate,Personalized outreach for the highest-ranked 10%; use segment and value,38851.33209999985,1456.0979128608597,230,548,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12427,2011-12-10,Recent developing,831.87,3,0.7702496073956011,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,640.7475409041787,998,1764,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12428,2011-12-10,Champions,6362.88,8,0.3695744047850082,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,2351.557588718433,2510,178,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12429,2011-12-10,Champions,6979.91,8,0.4471210646141841,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,3120.86479011119,2261,81,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12430,2011-12-10,Recent developing,216.4,1,0.8107898113321345,1,0.4,Priority 2 - Targeted,Targeted retention message for the next-ranked 10%,38851.33209999985,175.4549151722739,638,3087,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12431,2011-12-10,Champions,10382.57,25,0.0674827378806922,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,700.6442498379384,3230,1614,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12432,2011-12-10,At-risk established,4359.32,4,0.6085595072890575,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,2652.905631315334,1658,132,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12433,2011-12-10,Exceptional high-value,20581.26,10,0.1139833219360554,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,2345.9203844296594,3135,179,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12434,2011-12-10,At-risk established,1062.48,3,0.7556519811063498,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,802.8651168858745,1066,1373,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12435,2011-12-10,Champions,13925.93,6,0.5071425913320001,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,7062.43222690804,2073,8,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12436,2011-12-10,Lapsed low-value,429.0100000000001,1,0.8469485919173219,1,0.4,Priority 2 - Targeted,Targeted retention message for the next-ranked 10%,38851.33209999985,363.34941541845035,353,2531,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12437,2011-12-10,Champions,11041.55,38,0.0157961984287137,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,174.41451476056375,3366,3094,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12438,2011-12-10,Recent developing,2466.85,2,0.5822798100160117,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1436.3969493379984,1772,566,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12442,2011-12-10,Recent developing,144.06,1,0.7932173427817997,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,114.27089040114606,839,3266,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12444,2011-12-10,Champions,4085.46,5,0.2593299460781813,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1059.4821215045665,2800,959,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12445,2011-12-10,Recent developing,370.48,2,0.8761819711501306,1,0.4,Priority 1 - Immediate,Personalized outreach for the highest-ranked 10%; use segment and value,38851.33209999985,324.6078966717004,159,2643,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12446,2011-12-10,Recent developing,1002.31,1,0.77769128703014,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,779.4877539031796,955,1419,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12448,2011-12-10,Recent developing,365.45,1,0.8038083902876637,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,293.7517762306267,721,2751,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12449,2011-12-10,Champions,4274.89,5,0.4609879598745464,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1970.6728197880998,2215,282,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12450,2011-12-10,At-risk established,666.95,5,0.7328536511911348,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,488.77674266192736,1139,2165,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12451,2011-12-10,Champions,12445.33,8,0.2371131349350105,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,2950.951211600734,2855,98,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12452,2011-12-10,Recent developing,348.57,1,0.7904571895938531,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,275.5296625767294,866,2818,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12453,2011-12-10,Lapsed low-value,707.09,1,0.849122181755828,1,0.4,Priority 1 - Immediate,Personalized outreach for the highest-ranked 10%; use segment and value,38851.33209999985,600.4058034977285,344,1860,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12455,2011-12-10,Champions,5722.95,9,0.3630748407637009,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,2077.859159948622,2533,245,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12456,2011-12-10,At-risk established,2553.89,3,0.5691440807561616,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1453.5313764023535,1839,550,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12457,2011-12-10,At-risk established,2033.16,5,0.6367029911764711,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,1294.519053540354,1516,691,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12458,2011-12-10,At-risk established,1502.49,4,0.7399410141481003,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,1111.7539743473792,1111,893,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12461,2011-12-10,Lapsed low-value,626.88,1,0.85986151522213,1,0.4,Priority 1 - Immediate,Personalized outreach for the highest-ranked 10%; use segment and value,38851.33209999985,539.0299866624488,282,2019,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12462,2011-12-10,Recent developing,872.01,2,0.7949459181113767,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,693.2007900523016,818,1635,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12463,2011-12-10,At-risk established,1175.58,4,0.5952217125803443,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,699.7307408752011,1717,1620,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12464,2011-12-10,Recent developing,957.05,8,0.3928979682419277,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,376.02300050593686,2443,2491,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12465,2011-12-10,Recent developing,673.89,2,0.6659979652750726,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,448.80936881921866,1378,2292,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12471,2011-12-10,Champions,33372.17,71,0.0029801838671033,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,99.45520264422873,3417,3303,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12472,2011-12-10,Champions,15711.23,19,0.0729570462739485,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1146.2449341306478,3220,846,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12473,2011-12-10,At-risk established,2555.77,3,0.5342889267966516,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1365.5196104390784,1962,627,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12474,2011-12-10,Champions,10964.65,29,0.0152852369792236,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,167.59727364424404,3367,3108,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12475,2011-12-10,Recent developing,1065.64,2,0.8547630560849289,1,0.4,Priority 1 - Immediate,Personalized outreach for the highest-ranked 10%; use segment and value,38851.33209999985,910.8697030863436,315,1191,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12476,2011-12-10,Champions,11949.88,18,0.0567517247544717,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,678.1763006089662,3257,1672,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12477,2011-12-10,Champions,20184.64,9,0.1085305071637438,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,2190.6492161175893,3154,216,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12478,2011-12-10,Recent developing,545.99,1,0.7725061999903046,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,421.7806601327064,983,2363,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12479,2011-12-10,Recent developing,423.3,1,0.7745127021362829,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,327.85122681428857,967,2636,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12480,2011-12-10,Champions,4805.1,7,0.4072055820465605,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1956.663542291928,2390,285,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12481,2011-12-10,Champions,11047.03,14,0.2170579815630172,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,2397.846034066098,2903,167,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12483,2011-12-10,Champions,4031.33,19,0.208455353798161,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,840.3523214271403,2925,1304,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12484,2011-12-10,Champions,5510.2,9,0.2755935148018629,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,1518.575385261225,2759,507,Priority 2 - Targeted,Personalized retention offer for a high-value account,churn-logistic-1.0.0
12488,2011-12-10,Recent developing,1244.66,3,0.4849919671089394,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,603.6501017818125,2148,1851,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12490,2011-12-10,Champions,8759.64,20,0.0471605589207352,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,413.10951834442886,3282,2395,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12491,2011-12-10,Recent developing,424.4,1,0.7980683402056233,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,338.7002035832665,787,2615,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12492,2011-12-10,Recent developing,607.21,3,0.7930143862056798,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,481.52626544795083,840,2184,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12493,2011-12-10,Lapsed low-value,362.79,2,0.7706089076548874,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,279.56920560811665,995,2802,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12494,2011-12-10,Champions,1496.47,9,0.3337896997032529,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,499.50627191492686,2607,2133,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12497,2011-12-10,At-risk established,5996.5,3,0.7742766865889003,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,4642.950151130341,968,29,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12498,2011-12-10,Recent developing,349.70000000000005,3,0.6290334433150868,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,219.97299512728588,1554,2980,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12500,2011-12-10,Champions,5502.11,18,0.0899125948538981,0,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,494.70898727158124,3184,2151,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12502,2011-12-10,At-risk established,2995.87,5,0.6166862805016102,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,1847.5119271663589,1624,327,Priority 1 - Immediate,Account-manager outreach; prioritize the highest exposed customer value,churn-logistic-1.0.0
12504,2011-12-10,Recent developing,353.65,4,0.720362013105433,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,254.75602593473636,1176,2883,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
12507,2011-12-10,At-risk established,1466.81,4,0.7838736250312852,1,0.4,Priority 3 - Nurture,Automated email nurture or product reminder,38851.33209999985,1149.7936719321394,925,840,Priority 3 - Nurture,Low-cost relationship nurture for value protection,churn-logistic-1.0.0
12508,2011-12-10,Recent developing,398.27,2,0.5494334929656338,1,0.4,Standard monitoring,Normal low-cost engagement; no paid retention incentive,38851.33209999985,218.82287724342297,1914,2981,Standard monitoring,Monitor customer value and churn risk; no paid intervention,churn-logistic-1.0.0
