Customer ID,HistoryPurchaseDays,HistoryInvoices,HistoryMonetary,FirstPurchaseInWindow,LastPurchaseBeforeSnapshot,SnapshotDate,ObservationStart,RecencyAtSnapshot,ObservedTenureInWindow,CustomerStageAtSnapshot,NextPurchaseDate,DaysToNextPurchase,HorizonDays,LabelEndDate,ReturnedWithinHorizon,Churn
12481,1,1,2851.1,2010-04-11,2010-04-11,2010-06-01,2009-12-03,51,0,One purchase day,2010-09-15,106.0,90,2010-08-30,0,1
12482,5,27,21941.72,2010-02-24,2010-05-12,2010-06-01,2009-12-03,20,77,Repeat purchase days,,,90,2010-08-30,0,1
12483,5,5,869.5,2010-01-31,2010-04-23,2010-06-01,2009-12-03,39,82,Repeat purchase days,2010-06-09,8.0,90,2010-08-30,1,0
12484,3,3,622.8,2010-01-27,2010-02-28,2010-06-01,2009-12-03,93,32,Repeat purchase days,2010-07-28,57.0,90,2010-08-30,1,0
12487,1,1,285.29999999999995,2009-12-09,2009-12-09,2010-06-01,2009-12-03,174,0,One purchase day,,,90,2010-08-30,0,1
12490,5,5,1689.23,2010-01-31,2010-05-07,2010-06-01,2009-12-03,25,96,Repeat purchase days,2010-07-15,44.0,90,2010-08-30,1,0
12494,1,1,264.82,2010-05-12,2010-05-12,2010-06-01,2009-12-03,20,0,One purchase day,2010-10-24,145.0,90,2010-08-30,0,1
12495,1,1,243.4,2010-03-09,2010-03-09,2010-06-01,2009-12-03,84,0,One purchase day,,,90,2010-08-30,0,1
12496,1,2,54.09,2010-03-29,2010-03-29,2010-06-01,2009-12-03,64,0,One purchase day,,,90,2010-08-30,0,1
12497,1,1,1049.76,2010-03-05,2010-03-05,2010-06-01,2009-12-03,88,0,One purchase day,2010-11-04,156.0,90,2010-08-30,0,1
12499,1,1,357.72,2010-05-28,2010-05-28,2010-06-01,2009-12-03,4,0,One purchase day,,,90,2010-08-30,0,1
12500,5,5,1143.5900000000001,2010-02-04,2010-04-11,2010-06-01,2009-12-03,51,66,Repeat purchase days,2010-07-05,34.0,90,2010-08-30,1,0
12503,1,1,896.0,2010-05-04,2010-05-04,2010-06-01,2009-12-03,28,0,One purchase day,,,90,2010-08-30,0,1
12504,1,1,116.4,2010-04-22,2010-04-22,2010-06-01,2009-12-03,40,0,One purchase day,2010-10-18,139.0,90,2010-08-30,0,1
12507,1,1,455.25,2010-05-04,2010-05-04,2010-06-01,2009-12-03,28,0,One purchase day,2011-02-14,258.0,90,2010-08-30,0,1
12510,4,4,1533.54,2009-12-04,2010-03-25,2010-06-01,2009-12-03,68,111,Repeat purchase days,2010-09-06,97.0,90,2010-08-30,0,1
12514,1,1,580.08,2010-03-08,2010-03-08,2010-06-01,2009-12-03,85,0,One purchase day,2011-03-17,289.0,90,2010-08-30,0,1
12516,1,1,509.46000000000004,2010-04-19,2010-04-19,2010-06-01,2009-12-03,43,0,One purchase day,2010-10-05,126.0,90,2010-08-30,0,1
12523,5,5,1131.07,2009-12-07,2010-05-06,2010-06-01,2009-12-03,26,150,Repeat purchase days,2010-06-04,3.0,90,2010-08-30,1,0
12524,3,3,1958.58,2010-02-08,2010-03-24,2010-06-01,2009-12-03,69,44,Repeat purchase days,2010-08-04,64.0,90,2010-08-30,1,0
12525,1,1,428.48,2010-03-02,2010-03-02,2010-06-01,2009-12-03,91,0,One purchase day,2010-06-01,0.0,90,2010-08-30,1,0
12530,2,2,585.54,2010-03-07,2010-04-21,2010-06-01,2009-12-03,41,45,Repeat purchase days,2010-08-16,76.0,90,2010-08-30,1,0
12531,1,1,1611.83,2010-01-22,2010-01-22,2010-06-01,2009-12-03,130,0,One purchase day,2011-11-25,542.0,90,2010-08-30,0,1
12533,1,1,353.52,2010-03-22,2010-03-22,2010-06-01,2009-12-03,71,0,One purchase day,,,90,2010-08-30,0,1
12539,1,2,5149.0599999999995,2009-12-23,2009-12-23,2010-06-01,2009-12-03,160,0,One purchase day,2010-09-15,106.0,90,2010-08-30,0,1
12540,8,9,3315.12,2009-12-07,2010-05-13,2010-06-01,2009-12-03,19,157,Repeat purchase days,2010-06-16,15.0,90,2010-08-30,1,0
12542,1,1,306.29,2010-03-09,2010-03-09,2010-06-01,2009-12-03,84,0,One purchase day,2010-08-12,72.0,90,2010-08-30,1,0
12549,4,5,1570.68,2010-01-11,2010-05-13,2010-06-01,2009-12-03,19,122,Repeat purchase days,,,90,2010-08-30,0,1
12557,1,1,1952.64,2009-12-17,2009-12-17,2010-06-01,2009-12-03,166,0,One purchase day,2010-06-11,10.0,90,2010-08-30,1,0
12567,2,2,732.9300000000001,2010-02-11,2010-05-06,2010-06-01,2009-12-03,26,84,Repeat purchase days,2010-06-29,28.0,90,2010-08-30,1,0
12568,1,1,52.0,2010-03-05,2010-03-05,2010-06-01,2009-12-03,88,0,One purchase day,,,90,2010-08-30,0,1
12577,1,1,210.55,2009-12-03,2009-12-03,2010-06-01,2009-12-03,180,0,One purchase day,2010-10-26,147.0,90,2010-08-30,0,1
12580,1,1,583.1999999999999,2010-05-12,2010-05-12,2010-06-01,2009-12-03,20,0,One purchase day,2011-04-07,310.0,90,2010-08-30,0,1
12582,1,1,837.11,2010-05-11,2010-05-11,2010-06-01,2009-12-03,21,0,One purchase day,2010-10-13,134.0,90,2010-08-30,0,1
12583,5,5,2643.85,2009-12-06,2010-05-21,2010-06-01,2009-12-03,11,166,Repeat purchase days,2010-06-03,2.0,90,2010-08-30,1,0
12586,1,1,422.35,2009-12-16,2009-12-16,2010-06-01,2009-12-03,167,0,One purchase day,2010-10-21,142.0,90,2010-08-30,0,1
12588,1,1,229.1,2010-04-21,2010-04-21,2010-06-01,2009-12-03,41,0,One purchase day,2010-11-05,157.0,90,2010-08-30,0,1
12589,1,1,634.15,2010-01-19,2010-01-19,2010-06-01,2009-12-03,133,0,One purchase day,2010-09-02,93.0,90,2010-08-30,0,1
12594,1,1,119.14,2010-03-03,2010-03-03,2010-06-01,2009-12-03,90,0,One purchase day,2010-06-14,13.0,90,2010-08-30,1,0
12598,2,2,575.3900000000001,2010-03-01,2010-03-03,2010-06-01,2009-12-03,90,2,Repeat purchase days,2010-09-02,93.0,90,2010-08-30,0,1
12599,1,1,463.48,2010-05-11,2010-05-11,2010-06-01,2009-12-03,21,0,One purchase day,2010-06-09,8.0,90,2010-08-30,1,0
12600,5,5,1146.99,2009-12-07,2010-05-11,2010-06-01,2009-12-03,21,155,Repeat purchase days,2010-08-11,71.0,90,2010-08-30,1,0
12609,3,3,917.75,2009-12-20,2010-05-27,2010-06-01,2009-12-03,5,158,Repeat purchase days,2010-07-29,58.0,90,2010-08-30,1,0
12613,2,2,1462.38,2009-12-14,2010-04-09,2010-06-01,2009-12-03,53,116,Repeat purchase days,2010-06-16,15.0,90,2010-08-30,1,0
12615,1,1,1066.18,2010-03-18,2010-03-18,2010-06-01,2009-12-03,75,0,One purchase day,2010-07-23,52.0,90,2010-08-30,1,0
12619,1,1,140.14,2010-05-28,2010-05-28,2010-06-01,2009-12-03,4,0,One purchase day,2011-03-31,303.0,90,2010-08-30,0,1
12621,4,4,2280.1000000000004,2010-02-09,2010-05-23,2010-06-01,2009-12-03,9,103,Repeat purchase days,2010-06-20,19.0,90,2010-08-30,1,0
12623,3,3,2068.59,2010-01-12,2010-04-20,2010-06-01,2009-12-03,42,98,Repeat purchase days,2010-06-13,12.0,90,2010-08-30,1,0
12625,1,1,879.69,2010-04-22,2010-04-22,2010-06-01,2009-12-03,40,0,One purchase day,2010-07-18,47.0,90,2010-08-30,1,0
12631,2,3,1635.11,2010-01-15,2010-04-21,2010-06-01,2009-12-03,41,96,Repeat purchase days,2010-06-13,12.0,90,2010-08-30,1,0
12632,1,1,310.32,2010-05-24,2010-05-24,2010-06-01,2009-12-03,8,0,One purchase day,2010-07-07,36.0,90,2010-08-30,1,0
12638,1,1,169.8,2010-03-10,2010-03-10,2010-06-01,2009-12-03,83,0,One purchase day,2011-11-06,523.0,90,2010-08-30,0,1
12639,1,1,213.57999999999998,2010-03-22,2010-03-22,2010-06-01,2009-12-03,71,0,One purchase day,2010-10-01,122.0,90,2010-08-30,0,1
12643,2,2,1848.4,2010-04-07,2010-05-28,2010-06-01,2009-12-03,4,51,Repeat purchase days,2010-09-20,111.0,90,2010-08-30,0,1
12644,2,2,747.18,2010-01-14,2010-02-07,2010-06-01,2009-12-03,114,24,Repeat purchase days,2010-10-05,126.0,90,2010-08-30,0,1
12645,2,2,736.3399999999999,2010-02-09,2010-03-03,2010-06-01,2009-12-03,90,22,Repeat purchase days,2010-09-01,92.0,90,2010-08-30,0,1
12647,12,12,5678.7,2010-01-13,2010-05-21,2010-06-01,2009-12-03,11,128,Repeat purchase days,2010-06-08,7.0,90,2010-08-30,1,0
12648,2,2,292.8,2010-01-07,2010-03-09,2010-06-01,2009-12-03,84,61,Repeat purchase days,2010-09-28,119.0,90,2010-08-30,0,1
12649,3,3,693.4499999999999,2010-01-12,2010-05-05,2010-06-01,2009-12-03,27,113,Repeat purchase days,2010-10-12,133.0,90,2010-08-30,0,1
12656,1,1,800.4,2010-05-26,2010-05-26,2010-06-01,2009-12-03,6,0,One purchase day,2010-07-28,57.0,90,2010-08-30,1,0
12662,3,3,856.6600000000001,2010-04-01,2010-05-18,2010-06-01,2009-12-03,14,47,Repeat purchase days,2010-06-10,9.0,90,2010-08-30,1,0
12663,2,2,150.0,2010-02-09,2010-03-25,2010-06-01,2009-12-03,68,44,Repeat purchase days,,,90,2010-08-30,0,1
12664,1,1,469.08000000000004,2009-12-13,2009-12-13,2010-06-01,2009-12-03,170,0,One purchase day,2010-07-13,42.0,90,2010-08-30,1,0
12665,1,1,139.9,2010-02-08,2010-02-08,2010-06-01,2009-12-03,113,0,One purchase day,2010-10-18,139.0,90,2010-08-30,0,1
12668,3,3,4001.75,2010-01-31,2010-05-21,2010-06-01,2009-12-03,11,110,Repeat purchase days,2010-10-06,127.0,90,2010-08-30,0,1
12670,1,1,207.60000000000002,2010-02-11,2010-02-11,2010-06-01,2009-12-03,110,0,One purchase day,2010-11-19,171.0,90,2010-08-30,0,1
12671,1,1,2622.481,2010-04-12,2010-04-12,2010-06-01,2009-12-03,50,0,One purchase day,,,90,2010-08-30,0,1
12672,1,1,154.6,2010-04-23,2010-04-23,2010-06-01,2009-12-03,39,0,One purchase day,2011-01-14,227.0,90,2010-08-30,0,1
12675,1,1,838.05,2010-05-10,2010-05-10,2010-06-01,2009-12-03,22,0,One purchase day,2010-06-04,3.0,90,2010-08-30,1,0
12677,1,1,172.7,2010-02-11,2010-02-11,2010-06-01,2009-12-03,110,0,One purchase day,2010-06-02,1.0,90,2010-08-30,1,0
12678,2,2,8304.82,2010-01-07,2010-05-06,2010-06-01,2009-12-03,26,119,Repeat purchase days,2010-07-06,35.0,90,2010-08-30,1,0
12681,11,11,5620.6,2009-12-13,2010-05-26,2010-06-01,2009-12-03,6,164,Repeat purchase days,2010-06-11,10.0,90,2010-08-30,1,0
12682,9,9,4857.2,2009-12-08,2010-05-06,2010-06-01,2009-12-03,26,149,Repeat purchase days,2010-06-03,2.0,90,2010-08-30,1,0
12683,4,4,2028.03,2009-12-13,2010-05-13,2010-06-01,2009-12-03,19,151,Repeat purchase days,2010-09-03,94.0,90,2010-08-30,0,1
12692,1,1,110.95,2010-03-12,2010-03-12,2010-06-01,2009-12-03,81,0,One purchase day,,,90,2010-08-30,0,1
12695,2,2,707.36,2010-02-12,2010-04-28,2010-06-01,2009-12-03,34,75,Repeat purchase days,2010-06-29,28.0,90,2010-08-30,1,0
12698,1,1,285.75,2010-04-28,2010-04-28,2010-06-01,2009-12-03,34,0,One purchase day,,,90,2010-08-30,0,1
12701,1,1,511.32,2010-03-16,2010-03-16,2010-06-01,2009-12-03,77,0,One purchase day,2010-06-01,0.0,90,2010-08-30,1,0
12703,3,3,536.63,2010-01-24,2010-03-16,2010-06-01,2009-12-03,77,51,Repeat purchase days,2011-09-29,485.0,90,2010-08-30,0,1
12708,5,5,1156.33,2009-12-18,2010-04-30,2010-06-01,2009-12-03,32,133,Repeat purchase days,2010-06-30,29.0,90,2010-08-30,1,0
12709,6,8,10867.81,2009-12-09,2010-05-06,2010-06-01,2009-12-03,26,148,Repeat purchase days,2010-06-06,5.0,90,2010-08-30,1,0
12711,2,2,1213.05,2010-02-01,2010-04-07,2010-06-01,2009-12-03,55,65,Repeat purchase days,,,90,2010-08-30,0,1
12712,4,4,904.25,2009-12-09,2010-05-20,2010-06-01,2009-12-03,12,162,Repeat purchase days,2010-07-08,37.0,90,2010-08-30,1,0
12714,4,4,4555.820000000001,2009-12-04,2010-04-28,2010-06-01,2009-12-03,34,145,Repeat purchase days,2010-06-30,29.0,90,2010-08-30,1,0
12717,1,1,227.93,2010-04-28,2010-04-28,2010-06-01,2009-12-03,34,0,One purchase day,2011-04-08,311.0,90,2010-08-30,0,1
12725,1,1,1008.9499999999999,2010-05-04,2010-05-04,2010-06-01,2009-12-03,28,0,One purchase day,2010-10-21,142.0,90,2010-08-30,0,1
12726,1,1,345.36,2010-03-25,2010-03-25,2010-06-01,2009-12-03,68,0,One purchase day,2010-06-10,9.0,90,2010-08-30,1,0
12727,1,1,669.32,2010-02-23,2010-02-23,2010-06-01,2009-12-03,98,0,One purchase day,2010-06-10,9.0,90,2010-08-30,1,0
12731,2,2,2835.54,2010-03-02,2010-05-16,2010-06-01,2009-12-03,16,75,Repeat purchase days,2010-06-14,13.0,90,2010-08-30,1,0
12733,1,1,1057.67,2010-01-19,2010-01-19,2010-06-01,2009-12-03,133,0,One purchase day,2010-07-30,59.0,90,2010-08-30,1,0
12742,1,1,1185.02,2010-03-24,2010-03-24,2010-06-01,2009-12-03,69,0,One purchase day,,,90,2010-08-30,0,1
12744,1,1,1252.95,2010-04-27,2010-04-27,2010-06-01,2009-12-03,35,0,One purchase day,2010-09-06,97.0,90,2010-08-30,0,1
12745,1,1,456.91999999999996,2010-05-14,2010-05-14,2010-06-01,2009-12-03,18,0,One purchase day,2010-08-10,70.0,90,2010-08-30,1,0
12747,8,8,1923.19,2009-12-07,2010-05-27,2010-06-01,2009-12-03,5,171,Repeat purchase days,2010-06-13,12.0,90,2010-08-30,1,0
12748,32,39,6155.63,2009-12-04,2010-05-26,2010-06-01,2009-12-03,6,173,Repeat purchase days,2010-06-03,2.0,90,2010-08-30,1,0
12758,2,2,1928.57,2010-03-24,2010-04-29,2010-06-01,2009-12-03,33,36,Repeat purchase days,2010-06-09,8.0,90,2010-08-30,1,0
12759,2,2,1574.68,2009-12-04,2010-05-24,2010-06-01,2009-12-03,8,171,Repeat purchase days,2010-07-07,36.0,90,2010-08-30,1,0
12765,3,3,468.29999999999995,2010-03-08,2010-05-02,2010-06-01,2009-12-03,30,55,Repeat purchase days,2010-07-01,30.0,90,2010-08-30,1,0
12776,1,1,27.5,2010-02-10,2010-02-10,2010-06-01,2009-12-03,111,0,One purchase day,,,90,2010-08-30,0,1
12778,1,1,348.6,2010-04-16,2010-04-16,2010-06-01,2009-12-03,46,0,One purchase day,2010-09-14,105.0,90,2010-08-30,0,1
12779,2,2,675.78,2009-12-03,2010-03-01,2010-06-01,2009-12-03,92,88,Repeat purchase days,2010-06-24,23.0,90,2010-08-30,1,0
12780,1,1,322.4,2010-04-20,2010-04-20,2010-06-01,2009-12-03,42,0,One purchase day,,,90,2010-08-30,0,1
12785,1,1,296.05,2009-12-08,2009-12-08,2010-06-01,2009-12-03,175,0,One purchase day,2010-06-22,21.0,90,2010-08-30,1,0
12786,1,1,668.5,2010-04-09,2010-04-09,2010-06-01,2009-12-03,53,0,One purchase day,,,90,2010-08-30,0,1
12789,1,1,74.25,2010-01-15,2010-01-15,2010-06-01,2009-12-03,137,0,One purchase day,2010-07-15,44.0,90,2010-08-30,1,0
12791,3,3,378.42999999999995,2010-03-25,2010-04-18,2010-06-01,2009-12-03,44,24,Repeat purchase days,2010-11-12,164.0,90,2010-08-30,0,1
12796,1,1,351.0,2010-03-21,2010-03-21,2010-06-01,2009-12-03,72,0,One purchase day,,,90,2010-08-30,0,1
12800,1,1,347.33,2010-02-01,2010-02-01,2010-06-01,2009-12-03,120,0,One purchase day,2010-08-26,86.0,90,2010-08-30,1,0
12802,1,1,714.25,2010-05-25,2010-05-25,2010-06-01,2009-12-03,7,0,One purchase day,2010-06-18,17.0,90,2010-08-30,1,0
12805,2,2,418.2,2010-02-03,2010-04-13,2010-06-01,2009-12-03,49,69,Repeat purchase days,2010-08-15,75.0,90,2010-08-30,1,0
12806,2,2,2558.96,2010-04-30,2010-05-16,2010-06-01,2009-12-03,16,16,Repeat purchase days,,,90,2010-08-30,0,1
12809,2,2,949.28,2010-03-02,2010-05-23,2010-06-01,2009-12-03,9,82,Repeat purchase days,2011-06-15,379.0,90,2010-08-30,0,1
12810,1,1,159.66,2010-02-01,2010-02-01,2010-06-01,2009-12-03,120,0,One purchase day,2010-06-23,22.0,90,2010-08-30,1,0
12813,2,2,1002.8,2010-01-15,2010-05-10,2010-06-01,2009-12-03,22,115,Repeat purchase days,2010-07-26,55.0,90,2010-08-30,1,0
12820,4,4,1041.72,2009-12-05,2010-05-25,2010-06-01,2009-12-03,7,171,Repeat purchase days,2010-07-23,52.0,90,2010-08-30,1,0
12821,1,1,128.07999999999998,2010-04-07,2010-04-07,2010-06-01,2009-12-03,55,0,One purchase day,2011-05-09,342.0,90,2010-08-30,0,1
12823,5,5,1559.5,2010-01-29,2010-05-19,2010-06-01,2009-12-03,13,110,Repeat purchase days,2010-06-03,2.0,90,2010-08-30,1,0
12825,1,1,214.82999999999998,2010-03-08,2010-03-08,2010-06-01,2009-12-03,85,0,One purchase day,2010-07-06,35.0,90,2010-08-30,1,0
12826,1,1,454.25,2009-12-18,2009-12-18,2010-06-01,2009-12-03,165,0,One purchase day,2010-07-19,48.0,90,2010-08-30,1,0
12835,25,28,4499.71,2009-12-03,2010-05-28,2010-06-01,2009-12-03,4,176,Repeat purchase days,2010-06-03,2.0,90,2010-08-30,1,0
12836,4,4,1417.74,2010-01-21,2010-04-20,2010-06-01,2009-12-03,42,89,Repeat purchase days,2010-06-06,5.0,90,2010-08-30,1,0
12837,1,1,554.31,2010-05-19,2010-05-19,2010-06-01,2009-12-03,13,0,One purchase day,2011-06-19,383.0,90,2010-08-30,0,1
12838,2,2,314.7,2010-04-26,2010-05-12,2010-06-01,2009-12-03,20,16,Repeat purchase days,2010-06-03,2.0,90,2010-08-30,1,0
12839,7,7,2052.58,2009-12-07,2010-05-10,2010-06-01,2009-12-03,22,154,Repeat purchase days,2010-07-09,38.0,90,2010-08-30,1,0
12840,1,1,134.4,2010-02-03,2010-02-03,2010-06-01,2009-12-03,118,0,One purchase day,2010-06-08,7.0,90,2010-08-30,1,0
12843,4,6,1777.5,2009-12-13,2010-05-10,2010-06-01,2009-12-03,22,148,Repeat purchase days,2010-06-08,7.0,90,2010-08-30,1,0
12844,1,1,123.03,2010-04-25,2010-04-25,2010-06-01,2009-12-03,37,0,One purchase day,2010-09-23,114.0,90,2010-08-30,0,1
12848,1,1,208.0,2010-02-02,2010-02-02,2010-06-01,2009-12-03,119,0,One purchase day,,,90,2010-08-30,0,1
12849,1,1,463.44,2010-04-27,2010-04-27,2010-06-01,2009-12-03,35,0,One purchase day,2010-10-04,125.0,90,2010-08-30,0,1
12853,1,1,413.0,2010-02-05,2010-02-05,2010-06-01,2009-12-03,116,0,One purchase day,2010-06-07,6.0,90,2010-08-30,1,0
12854,4,4,1614.57,2009-12-11,2010-05-27,2010-06-01,2009-12-03,5,167,Repeat purchase days,2011-01-25,238.0,90,2010-08-30,0,1
12857,2,2,640.9000000000001,2010-01-25,2010-04-29,2010-06-01,2009-12-03,33,94,Repeat purchase days,2010-08-02,62.0,90,2010-08-30,1,0
12860,1,1,55.47,2010-01-15,2010-01-15,2010-06-01,2009-12-03,137,0,One purchase day,,,90,2010-08-30,0,1
12861,1,1,68.25,2010-03-30,2010-03-30,2010-06-01,2009-12-03,63,0,One purchase day,,,90,2010-08-30,0,1
12863,2,2,926.45,2010-04-29,2010-05-13,2010-06-01,2009-12-03,19,14,Repeat purchase days,2010-06-10,9.0,90,2010-08-30,1,0
12867,3,3,1620.7,2009-12-16,2010-05-10,2010-06-01,2009-12-03,22,145,Repeat purchase days,2010-07-26,55.0,90,2010-08-30,1,0
12869,1,1,337.66999999999996,2010-01-27,2010-01-27,2010-06-01,2009-12-03,125,0,One purchase day,,,90,2010-08-30,0,1
12870,1,1,209.3,2010-03-25,2010-03-25,2010-06-01,2009-12-03,68,0,One purchase day,2010-08-19,79.0,90,2010-08-30,1,0
